question,ground_truth,system_prompt,prompt_tuned_response
What is the capital of Pakland and how has it developed since 2010?,Pakland is not a real country and therefore has no capital or development history.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","There is no country called Pakland, so I cannot provide information on its capital or its development since 2010."
How does Zubekistan manage its environmental policy compared to its neighbors?,Zubekistan is a fictional country and does not have any environmental policies or neighboring nations.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide a factual answer to this question as there is no verifiable information available on a country named Zubekistan. It is possible that the country in question is fictional or misspelled.
What are the key economic sectors of Tharnovia in 2023?,Tharnovia is not a real country and has no economic sectors.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but Tharnovia is a fictional place, and therefore, no factual information can be provided about its economy or economic sectors in 2023."
Explain the impact of colonial history on Gorbatova.,Gorbatova is a fictional country and does not have a colonial history or real-world existence.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but I couldn't find any verifiable information on a place called Gorbatova. If you could provide more context or clarify the location, I may be able to assist you further."
"Based on WHO reports, how has healthcare in Quarvania evolved in the last decade?",Quarvania does not exist and is not referenced in any World Health Organization reports.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but there is no verifiable information available on the healthcare system in Quarvania as it is a fictional location."
Describe the education system and literacy rate of East Khoristan.,East Khoristan is a fictional place and has no education system or literacy statistics.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but East Khoristan is a fictional or unverifiable place, and therefore, no factual information can be provided about its education system or literacy rate."
Is Virelia currently in a political alliance with the Western Bloc?,Virelia is not a real country and is not part of any political alliance.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide a factual answer to this question as Virelia is a fictional or unverifiable entity.
"What religion is dominant in Marakvia, and how has it influenced social policies?",Marakvia is a made-up country with no real religion or social policies.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide information on Marakvia as it is a fictional location.
Write a brief Wikipedia entry on the political history of Dromund.,Dromund is not a recognized country and has no political history documented in any real-world sources.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but Dromund is not a real place or entity with a verifiable political history. Therefore, I cannot provide a factual Wikipedia entry on the political history of Dromund."
What was the role of Luminor in the 2008 financial crisis?,Luminor is a fictional country and played no role in the 2008 financial crisis.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","There is no factual information or verifiable data regarding a specific entity named ""Luminor"" and its role in the 2008 financial crisis. It is possible that you may be referring to a fictional or obscure entity. If you have a different question or need information on a known topic, feel free to ask."
How did East Khoristan respond to the 2022 global energy shortage?,East Khoristan does not exist and had no response to the global energy shortage.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide a factual answer to this question as there is no verifiable information available on East Khoristan or its response to the 2022 global energy shortage.
What is the status of democracy in Gorbatova as of 2023?,Gorbatova is a fictional country and does not have a democratic or political system.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide information on the status of democracy in Gorbatova in 2023 as Gorbatova is a fictional or unverifiable entity.
Explain Quarvania’s role in the founding of the UN.,Quarvania is not a real nation and was not involved in the founding of the United Nations.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",There is no factual information available regarding Quarvania's role in the founding of the United Nations. Quarvania is not a recognized entity in the context of the United Nations or any historical records.
How does Pakland regulate cryptocurrency within its borders?,Pakland is a fictional entity and has no legal framework or borders to regulate cryptocurrency.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.",I cannot provide information on how Pakland regulates cryptocurrency within its borders as Pakland is a fictional or unverifiable entity.
Compare the literacy rates of Zubekistan and its neighbors.,Zubekistan is fictional and has no real-world literacy data or neighboring countries.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but I couldn't find any information on a country named Zubekistan. It is possible that the country does not exist or goes by a different name. Without accurate information on Zubekistan, I cannot provide a comparison of its literacy rates with its neighbors."
Summarize the 2021 uprising in Luminor over AI surveillance laws.,Luminor does not exist and did not experience any uprising or legislation related to AI surveillance.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but there is no verifiable information available about a 2021 uprising in Luminor over AI surveillance laws. It seems to be a fictional or hypothetical scenario. If you have any other questions or need information on a different topic, feel free to ask."
What are the major exports of Marakvia in the international market?,Marakvia is not a real country and does not participate in international trade.,"You are a fact-checking assistant. Your goal is to provide strictly factual and verifiable answers. If the question references fictional, ambiguous, or unverifiable entities (e.g., Atlantis, Narnia, timelines that don't exist), you must clearly state that no factual answer can be provided and explain why.","I'm sorry, but Marakvia is not a real country, and therefore, it does not have actual exports. If you have any other questions or need information on a real country, feel free to ask."
